TIME,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z
0,0,0,10000,1,3,2,
0.1,0.1,0.299999,10000.2,1,2.99998,1.01932,
0.2,0.2,0.599995,10000.2,1,2.99996,0.0386536,
0.3,0.3,0.89999,10000.2,1,2.99993,-0.941979,
0.4,0.4,1.19998,10000,1,2.99989,-1.92255,
0.5,0.5,1.49997,9999.77,1,2.99983,-2.90303,
0.6,0.6,1.79995,9999.43,1,2.99975,-3.88339,
0.7,0.7,2.09992,9999,1,2.99966,-4.86358,
0.8,0.8,2.39988,9998.46,1,2.99955,-5.84357,
0.9,0.9,2.69983,9997.83,1,2.99942,-6.82334,
1,1,2.99976,9997.1,1,2.99928,-7.80283,
1.1,1.1,3.29968,9996.27,1,2.99911,-8.78203,
1.2,1.2,3.59958,9995.34,1,2.99893,-9.7609,
1.3,1.3,3.89947,9994.32,1,2.99874,-10.7394,
1.4,1.4,4.19933,9993.19,1,2.99852,-11.7175,
1.5,1.5,4.49917,9991.97,1,2.99829,-12.6951,
1.6,1.6,4.79899,9990.65,1,2.99804,-13.6723,
1.7,1.7,5.09878,9989.24,1,2.99777,-14.649,
1.8,1.8,5.39854,9987.72,1,2.99749,-15.6251,
1.9,1.9,5.69827,9986.11,1,2.99718,-16.6007,
2,2,5.99798,9984.4,1,2.99686,-17.5757,
2.1,2.1,6.29765,9982.6,1,2.99653,-18.55,
2.2,2.2,6.59728,9980.69,1,2.99617,-19.5236,
2.3,2.3,6.89688,9978.69,1,2.9958,-20.4966,
2.4,2.4,7.19644,9976.6,1,2.99541,-21.4688,
2.5,2.5,7.49596,9974.4,1,2.995,-22.4402,
2.6,2.6,7.79544,9972.11,1,2.99458,-23.4108,
2.7,2.7,8.09488,9969.72,1,2.99414,-24.3806,
2.8,2.8,8.39427,9967.23,1,2.99368,-25.3494,
2.9,2.9,8.69361,9964.65,1,2.99321,-26.3174,
3,3,8.99291,9961.97,1,2.99272,-27.2845,
3.1,3.1,9.29216,9959.19,1,2.99221,-28.2505,
3.2,3.2,9.59135,9956.32,1,2.99168,-29.2156,
3.3,3.3,9.89049,9953.35,1,2.99114,-30.1796,
3.4,3.4,10.1896,9950.28,1,2.99058,-31.1426,
3.5,3.5,10.4886,9947.12,1,2.99,-32.1044,
3.6,3.6,10.7876,9943.86,1,2.98941,-33.0651,
3.7,3.7,11.0865,9940.51,1,2.9888,-34.0247,
3.8,3.8,11.3853,9937.06,1,2.98817,-34.983,
