TIME,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z
1,0,0,100,0,0,0,
1.1,0,0,99.9503,0,0,-1.00198,
1.2,0,0,99.7981,0,0,-2.04784,
1.3,0,0,99.5392,0,0,-3.1395,
1.4,0,0,99.1686,0,0,-4.27895,
1.5,0,0,98.6817,0,0,-5.46831,
1.6,0,0,98.0733,0,0,-6.70974,
1.7,0,0,97.338,0,0,-8.00553,
1.8,0,0,96.4703,0,0,-9.35807,
1.9,0,0,95.4644,0,0,-10.7698,
2,0,0,94.3142,0,0,-12.2434,
2.1,0,0,93.0135,0,0,-13.7815,
2.2,0,0,91.5557,0,0,-15.387,
2.3,0,0,89.9338,0,0,-17.0627,
2.4,0,0,88.1407,0,0,-18.8119,
2.5,0,0,86.1689,0,0,-20.6376,
2.6,0,0,84.0105,0,0,-22.5433,
2.7,0,0,81.6574,0,0,-24.5324,
2.8,0,0,79.1011,0,0,-26.6086,
2.9,0,0,76.3327,0,0,-28.7758,
3,0,0,73.3428,0,0,-31.0378,
3.1,0,0,70.1218,0,0,-33.3989,
3.2,0,0,66.6596,0,0,-35.8634,
3.3,0,0,62.9455,0,0,-38.4358,
3.4,0,0,58.9687,0,0,-41.1208,
3.5,0,0,54.7174,0,0,-43.9234,
3.6,0,0,50.1799,0,0,-46.8488,
3.7,0,0,45.3434,0,0,-49.9022,
3.8,0,0,40.195,0,0,-53.0893,
3.9,0,0,34.7209,0,0,-56.416,
4,0,0,28.9069,0,0,-59.8884,
4.1,0,0,22.7382,0,0,-63.5128,
4.2,0,0,16.1991,0,0,-67.296,
4.3,0,0,9.27344,0,0,-71.2448,
4.4,0,0,1.94435,0,0,-75.3665,
4.5,0,0,-5.80587,0,0,-79.6686,
4.6,0,0,-13.9957,0,0,-84.1592,
4.7,0,0,-22.6443,0,0,-88.8464,
4.8,0,0,-31.7718,0,0,-93.7389,
4.9,0,0,-41.3992,0,0,-98.8456,
5,0,0,-51.5484,0,0,-104.176,
5.1,0,0,-62.2421,0,0,-109.74,
5.2,0,0,-73.5044,0,0,-115.547,
5.3,0,0,-85.36,0,0,-121.609,
5.4,0,0,-97.835,0,0,-127.936,
5.5,0,0,-110.956,0,0,-134.54,
5.6,0,0,-124.753,0,0,-141.433,
5.7,0,0,-139.253,0,0,-148.628,
5.8,0,0,-154.489,0,0,-156.139,
5.9,0,0,-170.492,0,0,-163.978,
6,0,0,-187.296,0,0,-172.16,
6.1,0,0,-204.936,0,0,-180.701,
6.2,0,0,-223.448,0,0,-189.615,
6.3,0,0,-242.872,0,0,-198.92,
6.4,0,0,-263.246,0,0,-208.633,
6.5,0,0,-284.612,0,0,-218.77,
6.6,0,0,-307.015,0,0,-229.352,
6.7,0,0,-330.498,0,0,-240.397,
6.8,0,0,-355.11,0,0,-251.926,
6.9,0,0,-380.9,0,0,-263.959,
7,0,0,-407.92,0,0,-276.52,
7.1,0,0,-436.223,0,0,-289.63,
7.2,0,0,-465.865,0,0,-303.315,
7.3,0,0,-496.906,0,0,-317.599,
7.4,0,0,-529.406,0,0,-332.508,
7.5,0,0,-563.429,0,0,-348.07,
7.6,0,0,-599.042,0,0,-364.313,
7.7,0,0,-636.315,0,0,-381.268,
7.8,0,0,-675.321,0,0,-398.965,
7.9,0,0,-716.134,0,0,-417.438,
8,0,0,-758.835,0,0,-436.719,
8.1,0,0,-803.506,0,0,-456.844,
8.2,0,0,-850.233,0,0,-477.851,
8.3,0,0,-899.107,0,0,-499.777,
8.4,0,0,-950.221,0,0,-522.664,
8.5,0,0,-1003.67,0,0,-546.553,
8.6,0,0,-1059.57,0,0,-571.487,
8.7,0,0,-1118.01,0,0,-597.514,
8.8,0,0,-1179.11,0,0,-624.681,
8.9,0,0,-1242.98,0,0,-653.037,
9,0,0,-1309.76,0,0,-682.634,
9.1,0,0,-1379.55,0,0,-713.528,
9.2,0,0,-1452.51,0,0,-745.774,
9.3,0,0,-1528.75,0,0,-779.433,
9.4,0,0,-1608.44,0,0,-814.565,
9.5,0,0,-1691.72,0,0,-851.236,
9.6,0,0,-1778.74,0,0,-889.513,
9.7,0,0,-1869.68,0,0,-929.465,
9.8,0,0,-1964.69,0,0,-971.167,
9.9,0,0,-2063.97,0,0,-1014.7,
10,0,0,-2167.7,0,0,-1060.13,
